X-Axis Wavelength location in microns. Match cells 1:1 with HyTES_SRF for Y-Axis intensity strength.,,,,,,,
BND,wvl1,wvl2,wvl3,wvl4,wvl5,wvl6,wvl7
158,10.2054,10.2234,10.2414,10.2594,10.2774,10.2954,10.3134
159,10.223,10.241,10.259,10.277,10.295,10.313,10.331
160,10.2406,10.2586,10.2766,10.2946,10.3126,10.3306,10.3486
161,10.2582,10.2762,10.2942,10.3122,10.3302,10.3482,10.3662
162,10.2759,10.2939,10.3119,10.3299,10.3479,10.3659,10.3839
163,10.2935,10.3115,10.3295,10.3475,10.3655,10.3835,10.4015
164,10.3111,10.3291,10.3471,10.3651,10.3831,10.4011,10.4191
165,10.3287,10.3467,10.3647,10.3827,10.4007,10.4187,10.4367
166,10.3463,10.3643,10.3823,10.4003,10.4183,10.4363,10.4543
167,10.364,10.382,10.4,10.418,10.436,10.454,10.472
168,10.3816,10.3996,10.4176,10.4356,10.4536,10.4716,10.4896
169,10.3992,10.4172,10.4352,10.4532,10.4712,10.4892,10.5072
170,10.4168,10.4348,10.4528,10.4708,10.4888,10.5068,10.5248
171,10.4344,10.4524,10.4704,10.4884,10.5064,10.5244,10.5424
172,10.4521,10.4701,10.4881,10.5061,10.5241,10.5421,10.5601
173,10.4697,10.4877,10.5057,10.5237,10.5417,10.5597,10.5777
174,10.4873,10.5053,10.5233,10.5413,10.5593,10.5773,10.5953
175,10.5049,10.5229,10.5409,10.5589,10.5769,10.5949,10.6129
176,10.5225,10.5405,10.5585,10.5765,10.5945,10.6125,10.6305
177,10.5402,10.5582,10.5762,10.5942,10.6122,10.6302,10.6482
178,10.5578,10.5758,10.5938,10.6118,10.6298,10.6478,10.6658
179,10.5754,10.5934,10.6114,10.6294,10.6474,10.6654,10.6834
180,10.593,10.611,10.629,10.647,10.665,10.683,10.701
181,10.6106,10.6286,10.6466,10.6646,10.6826,10.7006,10.7186
182,10.6283,10.6463,10.6643,10.6823,10.7003,10.7183,10.7363
183,10.6459,10.6639,10.6819,10.6999,10.7179,10.7359,10.7539
184,10.6635,10.6815,10.6995,10.7175,10.7355,10.7535,10.7715
185,10.6811,10.6991,10.7171,10.7351,10.7531,10.7711,10.7891
186,10.6987,10.7167,10.7347,10.7527,10.7707,10.7887,10.8067
187,10.7164,10.7344,10.7524,10.7704,10.7884,10.8064,10.8244
188,10.734,10.752,10.77,10.788,10.806,10.824,10.842
189,10.7516,10.7696,10.7876,10.8056,10.8236,10.8416,10.8596
190,10.7692,10.7872,10.8052,10.8232,10.8412,10.8592,10.8772
191,10.7868,10.8048,10.8228,10.8408,10.8588,10.8768,10.8948
192,10.8045,10.8225,10.8405,10.8585,10.8765,10.8945,10.9125
193,10.8221,10.8401,10.8581,10.8761,10.8941,10.9121,10.9301
194,10.8397,10.8577,10.8757,10.8937,10.9117,10.9297,10.9477
195,10.8573,10.8753,10.8933,10.9113,10.9293,10.9473,10.9653
196,10.8749,10.8929,10.9109,10.9289,10.9469,10.9649,10.9829
197,10.8926,10.9106,10.9286,10.9466,10.9646,10.9826,11.0006
198,10.9102,10.9282,10.9462,10.9642,10.9822,11.0002,11.0182
199,10.9278,10.9458,10.9638,10.9818,10.9998,11.0178,11.0358
200,10.9454,10.9634,10.9814,10.9994,11.0174,11.0354,11.0534
201,10.963,10.981,10.999,11.017,11.035,11.053,11.071
202,10.9807,10.9987,11.0167,11.0347,11.0527,11.0707,11.0887
203,10.9983,11.0163,11.0343,11.0523,11.0703,11.0883,11.1063
204,11.0159,11.0339,11.0519,11.0699,11.0879,11.1059,11.1239
205,11.0335,11.0515,11.0695,11.0875,11.1055,11.1235,11.1415
206,11.0511,11.0691,11.0871,11.1051,11.1231,11.1411,11.1591
207,11.0688,11.0868,11.1048,11.1228,11.1408,11.1588,11.1768
208,11.0864,11.1044,11.1224,11.1404,11.1584,11.1764,11.1944
209,11.104,11.122,11.14,11.158,11.176,11.194,11.212
210,11.1216,11.1396,11.1576,11.1756,11.1936,11.2116,11.2296
211,11.1392,11.1572,11.1752,11.1932,11.2112,11.2292,11.2472
212,11.1569,11.1749,11.1929,11.2109,11.2289,11.2469,11.2649
213,11.1745,11.1925,11.2105,11.2285,11.2465,11.2645,11.2825
214,11.1921,11.2101,11.2281,11.2461,11.2641,11.2821,11.3001
215,11.2097,11.2277,11.2457,11.2637,11.2817,11.2997,11.3177
216,11.2273,11.2453,11.2633,11.2813,11.2993,11.3173,11.3353
217,11.245,11.263,11.281,11.299,11.317,11.335,11.353
218,11.2626,11.2806,11.2986,11.3166,11.3346,11.3526,11.3706
219,11.2802,11.2982,11.3162,11.3342,11.3522,11.3702,11.3882
220,11.2978,11.3158,11.3338,11.3518,11.3698,11.3878,11.4058
221,11.3154,11.3334,11.3514,11.3694,11.3874,11.4054,11.4234
222,11.3331,11.3511,11.3691,11.3871,11.4051,11.4231,11.4411
223,11.3507,11.3687,11.3867,11.4047,11.4227,11.4407,11.4577
224,11.3683,11.3863,11.4043,11.4223,11.4393,11.4573,11.4753
225,11.3869,11.4049,11.4219,11.4399,11.4579,11.4759,11.4939
226,11.4045,11.4215,11.4395,11.4575,11.4755,11.4935,11.5115
